id,listing_url,name,description,picture_url,host_id,host_response_time,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
20480198,https://www.airbnb.com/rooms/20480198,Casa de São João,"Uma pérola envolta da magia da região de Lafões.<br />Presenteia-nos com o grande lago da barragem de Ribeiradio,Rio Teixeira, Serra da Freita, Passadiços do Paiva,termas de S.Pedro do Sul, as vilas de Oliveira de Frades e Vouzela .Viseu a 29 Km, Aveiro a 38 Km e Porto a 125 Km.<br />1º andar com seis quartos amplos, tendo um deles WC privativo, e um partilhado. R/C Sala de jantar, estar, cozinha que permite confeccionar as refeições, 1 WC e jardim exterior.<br />Recebemos com conforto, confiança e segurança.<br /><br /><b>Guest access</b><br />A toda à casa",https://a0.muscache.com/pictures/e500c794-30b2-4d6b-8964-5ed397237be0.jpg,146202861,within an hour,,Arões,VALE DE CAMBRA,40.78164,-8.2434,Entire home/apt,10,6,8,"[""Wifi"", ""Fireplace guards"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Dishwasher"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Room-darkening shades"", ""Hangers"", ""Private entrance"", ""High chair"", ""Free parking on premises"", ""BBQ grill"", ""TV"", ""Dishes and silverware"", ""Pocket wifi"", ""Refrigerator"", ""Kitchen"", ""Crib"", ""Patio or balcony"", ""Cleaning before checkout"", ""Iron"", ""Backyard"", ""Bathtub"", ""Outlet covers"", ""Indoor fireplace"", ""Microwave"", ""First aid kit"", ""Luggage dropoff allowed"", ""Shampoo"", ""Coffee maker"", ""Hot water"", ""Oven"", ""Fire extinguisher"", ""Stove"", ""Cooking basics"", ""Long term stays allowed""]",$150.00,4,5.0,5.0,5.0,5.0,5.0,5.0,4.5,0.07
52337524,https://www.airbnb.com/rooms/52337524,Detached Guest House in Luxury Villa with Pool,"Luxury Villa between Porto and Braga at 20 min from the beach and 25 minutes from Porto, Braga & Guimarães. Take it easy at this unique and tranquil getaway.<br /><br /><b>The space</b><br />Stand-alone / detached guest house. It will feel like a country side studio apartment. With full kitchen and bathroom.<br /><br /><b>Guest access</b><br />Guests will have access to the entire backyard, Pool, barbecue area and gardens also can park the car inside the property or in the garage.<br /><br /><b>Other things to note</b><br />I’m a Portuguese native but a mixed race. I love cultures…  I speak fluent 3 languages (Portuguese, English & Spanish ), and I understand Italian & French. I lived 19 years abroad in 6 different countries, I love people!!!<br /><br /><b>License number</b><br />13286/AL",https://a0.muscache.com/pictures/5b34cbd2-0ca8-4a53-b8f6-ad3695610592.jpg,423414022,within an hour,"Ribeirão, Braga, Portugal",Bougado (São Martinho e Santiago),TROFA,41.34749,-8.56984,Entire home/apt,2,1,1,"[""Bluetooth sound system"", ""Fireplace guards"", ""Extra pillows and blankets"", ""Dishwasher"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Room-darkening shades"", ""Hangers"", ""Private entrance"", ""Baking sheet"", ""Outdoor dining area"", ""Conditioner"", ""Drying rack for clothing"", ""Toaster"", ""Free parking on premises"", ""BBQ grill"", ""TV"", ""Dishes and silverware"", ""Body soap"", ""Shared outdoor pool"", ""Refrigerator"", ""Free street parking"", ""Kitchen"", ""Wifi \u2013 25 Mbps"", ""Outdoor shower"", ""Dining table"", ""Trash compactor"", ""Iron"", ""Freezer"", ""Shower gel"", ""Indoor fireplace"", ""Microwave"", ""First aid kit"", ""Luggage dropoff allowed"", ""Shampoo"", ""Coffee maker"", ""Washer"", ""Hot water"", ""Shared fenced garden or backyard"", ""Portable heater"", ""Shared patio or balcony"", ""Wine glasses"", ""Barbecue utensils"", ""Long term stays allowed"", ""Safe"", ""Single level home"", ""Dryer"", ""Ethernet connection"", ""Hot water kettle"", ""Oven"", ""Clothing storage: closet"", ""Cooking basics"", ""Cleaning products""]",$100.00,2,4.0,5.0,5.0,5.0,5.0,5.0,3.5,2
18616304,https://www.airbnb.com/rooms/18616304,Rustic house by the beach,"Great place by the beach (50 meters away), one of the best of portuguese atlantic coast in terms of extension and including a distinctive lagoon-based ecosystem as special landmark: the ""Barrinha"". World-known surf spot. Peaceful surroundings with convenience services; ecologic park for family entertainment at walking distance. Ideal for nature lovers. Easy access (by train, car); less than 1 hour away from nearest airport (Oporto).<br /><br /><b>The space</b><br />Private garden and lawn<br /><br /><b>License number</b><br />56289/AL",https://a0.muscache.com/pictures/44dd10c6-d356-4623-bf7b-95faa676f3f5.jpg,129318702,within a few hours,"Esmoriz, Aveiro, Portugal",Paramos,ESPINHO,40.962,-8.65137,Entire home/apt,4,2,2,"[""Wifi"", ""Extra pillows and blankets"", ""Dishwasher"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Cable TV"", ""Room-darkening shades"", ""Hangers"", ""Private entrance"", ""High chair"", ""Free parking on premises"", ""BBQ grill"", ""Dishes and silverware"", ""Pocket wifi"", ""Refrigerator"", ""Kitchen"", ""Patio or balcony"", ""Iron"", ""Backyard"", ""Microwave"", ""First aid kit"", ""Coffee maker"", ""Washer"", ""Hot water"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Single level home"", ""Oven"", ""Fire extinguisher"", ""Stove"", ""Cooking basics""]",$110.00,30,4.83,4.83,4.93,4.83,4.76,4.72,4.76,0.51
49499436,https://www.airbnb.com/rooms/49499436,Moradia geminada moderna a 2m da praia,"Moradia T2 completa sem existir a possibilidade de haver outros hóspedes na casa, casa bem acolhedora toda renovada estilo moderno em 2019 com 2 camas casal grandes, sofá para 1 pessoa, 2 insufláveis de 1 pessoa e com Berço e cadeira bebe, 1 varanda no quarto outra grande faz ligação a sala e cozinha, 1 bicicleta, 100m da praia e 50m do multibanco,  mini mercado, padaria, peixaria, talho, restaurante, 5Km temos o Casino de Espinho, a 30Km do Aeroporto Sá Carneiro Porto, apareça será bem recebido<br /><br /><b>License number</b><br />115355/AL",https://a0.muscache.com/pictures/miso/Hosting-49499436/original/b2a3310d-0e3e-44b7-b43e-1c4106097038.jpeg,399215419,within a few hours,,Paramos,ESPINHO,40.95583,-8.65506,Entire home/apt,6,2,2,"[""Wifi"", ""Iron"", ""Shared fenced garden or backyard"", ""Outdoor dining area"", ""Dedicated workspace"", ""Free parking on premises"", ""Indoor fireplace"", ""First aid kit"", ""BBQ grill"", ""Hair dryer"", ""Fire extinguisher"", ""TV"", ""Dishes and silverware"", ""Coffee maker"", ""Refrigerator"", ""Washer"", ""Kitchen"", ""Long term stays allowed""]",$90.00,0,,,,,,,,
596254806601732230,https://www.airbnb.com/rooms/596254806601732230,"The Shore @ Atlantic Beachfront - Patio, Tiny Pool","Located on the beachfront, this luxury property is ideal for those who wish to enjoy the authentic Atlantic seaside life without compromising on the small luxuries of modern life. It is located right in front of Beach Praia 37 in Espinho, and surrounded by some of the best seafood and tapas restaurants at the heart of the old fishing town. Inside, a patio with a tiny pool where you can relax with a cocktail after a day at the beach. Nespresso maker, Netflix-ready cable TV, fully equiped kitchen.<br /><br /><b>License number</b><br />123474/AL",https://a0.muscache.com/pictures/miso/Hosting-596254806601732230/original/be8ad0b0-63b1-4a02-a176-fc4e6b326131.jpeg,131440428,within an hour,"Espinho, Aveiro, Portugal",Espinho,ESPINHO,41.00201,-8.64707,Entire home/apt,4,2,3,"[""Wifi"", ""Cooking basics"", ""Outdoor dining area"", ""Lockbox"", ""First aid kit"", ""Hair dryer"", ""Fire extinguisher"", ""TV"", ""Dishes and silverware"", ""Coffee maker"", ""Private pool"", ""Refrigerator"", ""Kitchen"", ""Long term stays allowed""]",$134.00,3,5.0,5.0,5.0,5.0,5.0,5.0,4.67,2.20
44747911,https://www.airbnb.com/rooms/44747911,Enjoy Esmoriz [E1] Beach & Surf Apartment,"Sea, Beach, Surf 2 minutes walking. <br />Enjoy Esmoriz 1A is a 2 bedroom apartment on the first floor of a tourist property with only 2 apartments. Full kitchen with dishwasher. Living room with TV. Bedrooms and living room with air conditioning. Balcony with sunshade, table and chairs to enjoy the good weather. Private parking inside the property and also free in front and surroundings. Prepared for 4 max of persons.<br /><br /><b>License number</b><br />113877/AL",https://a0.muscache.com/pictures/prohost-api/Hosting-44747911/original/764883c9-16e5-4432-867f-dee89138c3c2.jpeg,49655325,within an hour,"Esmoriz, Aveiro, Portugal",Paramos,ESPINHO,40.956676,-8.653104,Entire home/apt,4,2,4,"[""Wifi"", ""Dishwasher"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Cable TV"", ""Free parking on premises"", ""Beachfront"", ""Refrigerator"", ""Kitchen"", ""Free street parking"", ""Iron"", ""Microwave"", ""First aid kit"", ""Shampoo"", ""Coffee maker"", ""Central air conditioning"", ""Private patio or balcony"", ""TV with standard cable"", ""Fire extinguisher"", ""Stove"", ""Cooking basics""]",$120.00,5,4.6,4.6,4.8,4.8,4.8,4.8,4.6,0.48
1015328,https://www.airbnb.com/rooms/1015328,Chalet Beach Front House,"<b>The space</b><br />1) 3 bedrooms (2 with double beds and 1 with 2 single beds);<br />2) 2 full bathrooms (1 with bathtub and the other with shower);<br />3) Kitchen with breakfast table, big refrigerator, microwave, expresso machine, dishwasher, stove, oven and utensils to cook and enjoy good meals;<br />4) Dinning room with table for 8 adults;<br />5) Living room with television and 2 sofas (1 converts into a bed); fireplace(URL HIDDEN) 6) Cable tv;<br />7) Clothes washer;<br />8) Linnens and bath towels provided;<br />9) Patio with table and sun umbrella for outside meals, sun bed chairs and barbecue;<br />10) Private tennis court;<br />11) Property is totally fenced in for privacy/safety, there is a garden with lots of grass around the house where children can run and play safely;<br />12) The house is located in a quiet, peaceful neighborhood literally steps from the beach and close to restaurants, cafés and shops. There is a  train station (1.5km from the house) that can connec",https://a0.muscache.com/pictures/15286961/64ee455b_original.jpg,3154225,within an hour,,Paramos,ESPINHO,40.9628,-8.65159,Entire home/apt,8,3,5,"[""Wifi"", ""Dishwasher"", ""Clothing storage: closet and dresser"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Cable TV"", ""Bikes"", ""Hangers"", ""Private entrance"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Toaster"", ""Free parking on premises"", ""Piano"", ""BBQ grill"", ""Dishes and silverware"", ""Samsung Bluetooth sound system"", ""Refrigerator"", ""Beachfront"", ""Kitchen"", ""Free street parking"", ""Crib"", ""Dining table"", ""Iron"", ""Backyard"", ""Indoor fireplace"", ""Microwave"", ""First aid kit"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Washer"", ""Hot water"", ""Outdoor furniture"", ""Private patio or balcony"", ""Portable heater"", ""Wine glasses"", ""TV with standard cable"", ""Barbecue utensils"", ""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Stove"", ""Cooking basics"", ""Long term stays allowed""]",$165.00,55,4.5,4.61,4.39,4.87,4.89,4.56,4.48,0.52
21431787,https://www.airbnb.com/rooms/21431787,"House with pool ""FAIA HOUSE"" - AVEIRO (Estarreja)","Cozy house very well equipped and very comfortable. The fully equipped kitchen, living room with fireplace, large sofa bed, leds TV and dining area, three bedrooms with double beds with fitted wardrobes and full bathroom. Outside a beautiful terrace with table and chairs, barbeque, orchard, garden and area with natural grass next to the private pool. Garage and laundry.<br /><br /><b>The space</b><br />In this space enjoys the nature, tranquility and is located only 25 minutes from the cities of Porto and Aveiro with access to the A1 and A29 motorway at 5 minutes by car and also the beaches of Ovar at 7 km, where you can easily reach areas of cultural and tourist interest.<br /><br /><b>Guest access</b><br />The guests have access to whole house, thus giving them the maximum privacy to enjoy a tranquil setting, the pool and the outdoor space where they can make al fresco dining in the area with the barbeque.<br /><br /><b>License number</b><br />64265/AL",https://a0.muscache.com/pictures/fbdb4a54-8c34-465d-a1a0-1f5b632a75f6.jpg,155354920,within an hour,"Avanca, Aveiro, Portugal",Loureiro,OLIVEIRA DE AZEMÉIS,40.80725,-8.56762,Entire home/apt,7,3,3,"[""Wifi"", ""Extra pillows and blankets"", ""Dishwasher"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Cable TV"", ""Room-darkening shades"", ""Stainless steel oven"", ""Security cameras on property"", ""Hangers"", ""Private entrance"", ""Baking sheet"", ""Outdoor dining area"", ""Free washer \u2013 In unit"", ""Drying rack for clothing"", ""Toaster"", ""Free parking on premises"", ""BBQ grill"", ""Dishes and silverware"", ""Refrigerator"", ""Free street parking"", ""Kitchen"", ""Dining table"", ""Cleaning before checkout"", ""Iron"", ""Freezer"", ""Bathtub"", ""Private fenced garden or backyard"", ""Indoor fireplace"", ""Microwave"", ""First aid kit"", ""Coffee maker"", ""Hot water"", ""Outdoor furniture"", ""Host greets you"", ""Private patio or balcony"", ""Stainless steel gas stove"", ""Cooking basics"", ""Wine glasses"", ""Barbecue utensils"", ""Laundromat nearby"", ""HDTV with standard cable"", ""Safe"", ""Private indoor saltwater pool"", ""Ethernet connection"", ""Central heating"", ""Single level home"", ""Fire extinguisher"", ""Clothing storage: closet"", ""Bidet"", ""Cleaning products""]",$133.00,15,4.87,4.93,4.53,5.0,4.93,4.4,4.73,0.32
23601122,https://www.airbnb.com/rooms/23601122,Appartement confortable sur front de mer d'Esmoriz,"A seulement 100 mètres du front de mer, l'appartement est idéal pour accueillir 4 à 6 personnes.<br />Il comprend 2 chambres, un salon/salle à manger, une cuisine toute équipée, une salle de bain avec baignoire, 2 WC, une buanderie avec machine à laver.<br /><br /><b>The space</b><br />Accès aisé vers Porto en train ou en voiture à moins de 30 min. Aéroport de Porto à 40 min.<br /><br /><b>Guest access</b><br />une place de parking sous terrain est disponible avec l'appartement<br /><br /><b>Other things to note</b><br />Allées piétonnes autour de l'appartement avec tous les commerces à proximité ( boulangeries, magasins d'alimentation, pharmacie, point banque, restaurants, cafés, bars )<br /><br /><b>License number</b><br />69834/AL",https://a0.muscache.com/pictures/bf901896-9835-4f12-be42-f3d34ede402b.jpg,36346783,within a few hours,"Esmoriz, Aveiro, Portugal",Paramos,ESPINHO,40.95677,-8.65372,Entire home/apt,6,2,4,"[""Wifi"", ""Dishwasher"", ""Hair dryer"", ""Essentials"", ""Hangers"", ""Free parking on premises"", ""Dishes and silverware"", ""Free street parking"", ""Beachfront"", ""Refrigerator"", ""Kitchen"", ""Iron"", ""Microwave"", ""Coffee maker"", ""Washer"", ""Hot water"", ""Host greets you"", ""Oven"", ""Stove"", ""Cooking basics"", ""Long term stays allowed""]",$70.00,5,4.8,5.0,5.0,5.0,5.0,5.0,4.8,0.11
20033432,https://www.airbnb.com/rooms/20033432,Casa na Praia - Com piscina e a 2o kms do Porto,"Moradia perto da praia e mata de Esmoriz .<br />Excelente para famílias com crianças ou grupos que queiram praticar surf.<br />O Porto e Aveiro com toda a sua beleza e lugares a visitar encontra-se a poucos quilómetros, assim como Espinho com a sua feira semanal (segunda-feira), os passadiços do Vouga, em Esmoriz os passadiços da Barrinha de Esmoriz e o Buçaquinho, em Ovar o percurso ao longo da Ria de Aveiro e muito mais.<br /><br /><b>The space</b><br />A casa foi recentemente melhorada com ar-condicionado e Wi_fi.<br /><br /><b>License number</b><br />52924/AL",https://a0.muscache.com/pictures/miso/Hosting-20033432/original/7b0f1899-11bf-4225-a97f-6e6ded2ca5c9.jpeg,120597600,within a few hours,,Paramos,ESPINHO,40.95434,-8.64936,Entire home/apt,7,3,3,"[""Wifi"", ""Stainless steel induction stove"", ""Fireplace guards"", ""Dedicated workspace"", ""Baby bath"", ""Dishwasher"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Cable TV"", ""Keurig coffee machine"", ""Stainless steel oven"", ""Pool"", ""Hangers"", ""Private entrance"", ""Baking sheet"", ""Children\u2019s dinnerware"", ""Nespresso machine"", ""High chair"", ""Drying rack for clothing"", ""Outdoor dining area"", ""Toaster"", ""BBQ grill"", ""Dishes and silverware"", ""Refrigerator"", ""Free street parking"", ""Kitchen"", ""Outdoor shower"", ""Patio or balcony"", ""Dining table"", ""Cleaning before checkout"", ""Iron"", ""Freezer"", ""Private garden or backyard"", ""Clothing storage: dresser and closet"", ""Indoor fireplace"", ""Microwave"", ""First aid kit"", ""Coffee maker"", ""Central air conditioning"", ""Washer"", ""Hot water"", ""Outdoor furniture"", ""Host greets you"", ""Cooking basics"", ""Wine glasses"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Barbecue utensils"", ""Ethernet connection"", ""Hot water kettle"", ""Fire extinguisher"", ""Bidet"", ""Long term stays allowed""]",$177.00,32,4.94,4.97,4.97,5.0,5.0,4.81,4.77,0.55
